"Nivel general","Alimentos y bebidas no alcohólicas","Alimentos","Pan y cereales","Carnes y derivados","Leche, productos lácteos y huevos","Aceites, grasas y manteca","Frutas","Verduras, tubérculos y legumbres","Azúcar, dulces, chocolate, golosinas, etc,","Bebidas no alcohólicas","Café, té, yerba y cacao","Aguas minerales, bebidas gaseosas y jugos","Bebidas alcohólicas y tabaco","Bebidas alcohólicas","Tabaco","Prendas de vestir y calzado","Prendas de vestir y materiales","Calzado","Vivienda, agua, electricidad y otros combustibles","Alquiler de la vivienda y gastos conexos","Alquiler de la vivienda","Mantenimiento y reparación de la vivienda","Electricidad, gas y otros combustibles","Equipamiento y mantenimiento del hogar","Bienes y servicios para la conservación del hogar","Salud","Productos medicinales, artefactos y equipos para la salud","Gastos de prepagas","Transporte","Adquisición de vehículos","Funcionamiento de equipos de transporte personal","Combustibles y lubricantes para vehículos de uso del hogar","Transporte público","Comunicación","Servicios  de telefonía e internet","Recreación y cultura","Equipos audiovisuales, fotográficos y de procesamiento de la información","Servicios recreativos y culturales","Periódicos, diarios, revistas, libros y artículos de papelería","Educación","Restaurantes y hoteles","Restaurantes y comidas fuera del hogar","Bienes y servicios varios","Cuidado personal","Periodo","Mes","Año","Interanual"
2.6,2.4,2.5,2.8,4.4,1.2,1.5,11.3,-5.7,2.5,2,2.4,1.8,1.7,0.9,2.4,-0.6,-0.9,0.4,4.9,3.2,2.8,2.6,8.7,1.8,1.8,2.7,1.9,3.6,4.5,1.7,3.5,4.2,7.9,7.7,7.6,0.3,0.7,-0.6,1.2,1.5,1.8,2.2,1.4,1.7,2018-02-01,"02","2018",25.55
2.5,2,2,2.8,3.2,3.1,1.8,0.3,-3.9,2.3,1.6,1.5,1.6,0.7,1.4,0.1,6.8,8.5,1.9,1,1.2,1.8,2.6,0.5,4.8,7,1,1.6,0,1.3,1.6,1.4,0.9,1.1,2.3,2.4,1.2,-0.2,4.1,1.1,14.7,1.4,2.1,2.4,2.3,2018-03-01,"03","2018",25.68
2.6,0.8,0.7,2.8,0.3,3.9,2.7,-7.3,-3.6,1,1.4,2.2,1.2,1.1,0.9,1.3,3.3,3.1,3.7,6.7,3.4,1.8,2.9,13,1.1,0.7,1.5,2.3,0.4,5.3,2.8,4.7,5.8,7.7,0.7,0.7,2.1,0.5,3.2,0.2,0.6,2.2,2.4,1.4,1.5,2018-04-01,"04","2018",25.68
1.9,3.7,4,5.9,2.1,2.3,4.7,-2.6,15,2.7,1.6,3,1.2,1.4,1.7,1.1,1.7,1.8,1.5,-1.3,1.6,2.5,2.2,-7.2,2.3,1.1,2.3,3,0,2,4.4,2.1,1.3,0.4,3.6,3.4,2,3.7,2.5,3.5,0.3,2.1,2.2,1.5,1.9,2018-05-01,"05","2018",26.42
3.9,4.7,5.1,6.9,5.5,3.6,6.1,-3,8.5,2.5,2.5,6.9,1.2,1.1,1,1.2,2.1,1.8,3.1,3.9,5.3,2.8,3.2,0.1,3.9,3,4.8,4.7,7.5,6.5,9.9,3.6,3.6,8.4,0.2,0,3.9,4.3,2.6,2.9,1.5,3.1,3.3,2.8,3.3,2018-06-01,"06","2018",29.54
2.8,4,4.3,3.6,2.5,2.3,5.4,1.8,14.4,3,1.8,4.1,1.1,2.6,1.5,3.5,-0.7,-1.5,2,0,-2,1.8,5.6,0.9,4.3,3.9,2.4,3.8,0,4.3,8.4,5.3,5.7,0.4,0.4,0.3,4.8,6.2,2.8,5.5,2.2,3,2.3,4.3,3.7,2018-07-01,"07","2018",30.94
4.1,3.5,3.7,2.7,4,3.3,4,3.1,6.1,3.3,1.7,5.5,0.6,1.1,0.2,1.7,0.8,0.7,0.9,8.6,7.1,2,3.4,13.9,3.1,3.1,5.1,4.2,7.9,3.3,0,3.2,3.5,5.8,15.3,15.6,1.4,4.2,1.3,1.6,2,2.5,2.9,5.5,3.2,2018-08-01,"08","2018",34.29
6.6,7.3,6.9,10.7,10.2,7.4,12.5,10.5,-11.5,7.4,9.9,8.8,10.3,4.4,3.4,5,13.1,14.2,9.9,0.7,-1.3,2.4,9.1,1.1,10,6.8,4.3,8.5,0,10.6,16.2,9.6,9.8,8.4,1.4,1.2,8.1,14.1,5.4,8,2.2,6.3,6.5,7.5,8.9,2018-09-01,"09","2018",40.35
5.1,6.1,5.9,5.7,3.2,6.4,6.6,8.1,12.4,5.3,7.3,6.8,7.4,2.5,4.9,0.8,4.9,4.6,5.6,7.1,4.2,1.8,4.3,12.4,3.9,4.1,5.8,5.6,8,7.1,6.8,8.4,9.7,5.6,0.2,0,2.2,0,-1.2,4.3,2.9,2.6,2.7,6,6.2,2018-10-01,"10","2018",45.62
2.9,3.1,2.9,3.4,1.7,6.5,3.1,2,0.6,3.6,4.6,3.6,5,4.9,4.5,5.3,1.7,1.5,2.4,1,-1,1.6,1.1,3.3,3.6,4.2,3.4,6.8,0,3,3.8,2.8,3.1,2.6,4.6,4.6,4.2,6.8,3.3,3.4,1.1,2.8,2.8,3.5,4.3,2018-11-01,"11","2018",48.06
